"age","universidad","comuna","matriculatotal","latitud","longitud"
"2022","U. DE CONCEPCIÓN","Concepción","22816","-36.829464940340600","-73.03418317192360"
"2022","U. BOLIVARIANA","Concepción","59","-36.82924261376130","-73.05668913695320"
"2022","U. DEL BÍO-BÍO","Concepción","6435","-36.82248963929020","-73.01327110137150"
"2022","U. DE LAS AMÉRICAS","Concepción","3475","-36.783294494226800","-73.0578485388569"
"2022","U. ANDRÉS BELLO","Concepción","6776","-36.77970437332910","-73.07603266026800"
"2022","U. DEL DESARROLLO","Concepción","4022","-36.821398002119696","-73.03660901650380"
"2022","U. SAN SEBASTIÁN","Concepción","13194","-36.81298349463050","-73.04264580998240"
"2022","U. SANTO TOMÁS","Concepción","1566","-36.82632846462110","-73.06162789224490"
"2022","U. CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN","Concepción","9183","-36.798517163917600","-73.05591782705520"
"2022","I.P. GUILLERMO SUBERCASEAUX","Concepción","372","-36.82943040922970","-73.04077598898990"
"2022","I.P. DUOC UC","Concepción","6685","-36.795326493837000","-73.06257383915150"
"2022","I.P. IPEGE","Concepción","1028","-36.82268473629150","-73.03836565098890"
"2022","I.P. SANTO TOMÁS","Concepción","1832","-36.82629895291850","-73.06162530010180"
"2022","I.P. DIEGO PORTALES","Concepción","1472","-36.8263928297418","-73.05607374081540"
"2022","I.P. DEL VALLE CENTRAL","Concepción","2473","-36.82869486844600","-73.05597044582750"
"2022","I.P. VIRGINIO GÓMEZ","Concepción","3676","-36.83310485875080","-73.05643838569280"
"2022","I.P. AIEP","Concepción","3997","-36.82849771051070","-73.05476791628710"
"2022","C.F.T. SANTO TOMÁS","Concepción","2448","-36.826326328296800","-73.06162798220900"
"2021","U. DE CONCEPCIÓN","Concepción","22391","-36.829464940340600","-73.03418317192360"
"2021","U. BOLIVARIANA","Concepción","136","-36.82924261376130","-73.05668913695320"
"2021","U. DEL BÍO-BÍO","Concepción","6800","-36.82248963929020","-73.01327110137150"
"2021","U. DE LAS AMÉRICAS","Concepción","3618","-36.783294494226800","-73.0578485388569"
"2021","U. ANDRÉS BELLO","Concepción","6846","-36.77970437332910","-73.07603266026800"
"2021","U. DEL DESARROLLO","Concepción","4144","-36.821398002119696","-73.03660901650380"
"2021","U. SAN SEBASTIÁN","Concepción","12484","-36.81298349463050","-73.04264580998240"
"2021","U. SANTO TOMÁS","Concepción","1739","-36.82632846462110","-73.06162789224490"
"2021","U. CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN","Concepción","8969","-36.798517163917600","-73.05591782705520"
"2021","I.P. GUILLERMO SUBERCASEAUX","Concepción","612","-36.82943040922970","-73.04077598898990"
"2021","I.P. DUOC UC","Concepción","6873","-36.795326493837000","-73.06257383915150"
"2021","I.P. IPEGE","Concepción","995","-36.82268473629150","-73.03836565098890"
"2021","I.P. SANTO TOMÁS","Concepción","1712","-36.82629895291850","-73.06162530010180"
"2021","I.P. DIEGO PORTALES","Concepción","1289","-36.8263928297418","-73.05607374081540"
"2021","I.P. DEL VALLE CENTRAL","Concepción","2012","-36.82869486844600","-73.05597044582750"
"2021","I.P. VIRGINIO GÓMEZ","Concepción","4145","-36.83310485875080","-73.05643838569280"
"2021","I.P. AIEP","Concepción","4043","-36.82849771051070","-73.05476791628710"
"2021","C.F.T. SANTO TOMÁS","Concepción","2458","-36.826326328296800","-73.06162798220900"
"2020","U. DE CONCEPCIÓN","Concepción","21001","-36.829464940340600","-73.03418317192360"
"2020","U. LA REPÚBLICA","Concepción","305","-36.82864304096020","-73.0550550140560"
"2020","U. BOLIVARIANA","Concepción","273","-36.82924261376130","-73.05668913695320"
"2020","U. DEL BÍO-BÍO","Concepción","6486","-36.82248963929020","-73.01327110137150"
"2020","U. DE LAS AMÉRICAS","Concepción","3420","-36.783294494226800","-73.0578485388569"
"2020","U. ANDRÉS BELLO","Concepción","6347","-36.77970437332910","-73.07603266026800"
"2020","U. DEL DESARROLLO","Concepción","4049","-36.821398002119696","-73.03660901650380"
"2020","U. SAN SEBASTIÁN","Concepción","11573","-36.81298349463050","-73.04264580998240"
"2020","U. SANTO TOMÁS","Concepción","1611","-36.82632846462110","-73.06162789224490"
"2020","U. CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN","Concepción","9204","-36.798517163917600","-73.05591782705520"
"2020","I.P. GUILLERMO SUBERCASEAUX","Concepción","551","-36.82943040922970","-73.04077598898990"
"2020","I.P. DUOC UC","Concepción","7349","-36.795326493837000","-73.06257383915150"
"2020","I.P. IPEGE","Concepción","1018","-36.82268473629150","-73.03836565098890"
"2020","I.P. SANTO TOMÁS","Concepción","1656","-36.82629895291850","-73.06162530010180"
"2020","I.P. DIEGO PORTALES","Concepción","180","-36.8263928297418","-73.05607374081540"
"2020","I.P. DEL VALLE CENTRAL","Concepción","1841","-36.82869486844600","-73.05597044582750"
"2020","I.P. VIRGINIO GÓMEZ","Concepción","3737","-36.83310485875080","-73.05643838569280"
"2020","I.P. AIEP","Concepción","4631","-36.82849771051070","-73.05476791628710"
"2020","C.F.T. SANTO TOMÁS","Concepción","1869","-36.826326328296800","-73.06162798220900"
"2019","U. DE CONCEPCIÓN","Concepción","20879","-36.829464940340600","-73.03418317192360"
"2019","U. BOLIVARIANA","Concepción","402","-36.82924261376130","-73.05668913695320"
"2019","U. DEL BÍO-BÍO","Concepción","7021","-36.82248963929020","-73.01327110137150"
"2019","U. DE LAS AMÉRICAS","Concepción","3530","-36.783294494226800","-73.0578485388569"
"2019","U. ANDRÉS BELLO","Concepción","6079","-36.77970437332910","-73.07603266026800"
"2019","U. DEL DESARROLLO","Concepción","4038","-36.821398002119696","-73.03660901650380"
"2019","U. SAN SEBASTIÁN","Concepción","11031","-36.81298349463050","-73.04264580998240"
"2019","U. SANTO TOMÁS","Concepción","1782","-36.82632846462110","-73.06162789224490"
